metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,incident_zone_scenarios,sampled_node
incident_zone_mean_response_min,0.5,-0.02128748643752232,-0.16542716292831944,0.1228521900532748,10,10,True
incident_zone_mean_response_min,0.5991379310344828,-0.019391732292345584,-0.1258233952614453,0.08703993067675411,10,10,False
incident_zone_mean_response_min,0.6982758620689655,-0.017567875251714004,-0.09856704336519416,0.06343129286176614,10,10,False
incident_zone_mean_response_min,0.7974137931034483,-0.016305635821007924,-0.09267167531187137,0.06006040366985552,10,10,False
incident_zone_mean_response_min,0.896551724137931,-0.016094734505607677,-0.10061710653217111,0.06842763752095575,10,10,False
incident_zone_mean_response_min,0.9956896551724138,-0.017424891810893607,-0.10715036154732058,0.07230057792553335,10,10,False
incident_zone_mean_response_min,1.0,-0.017525249569487932,-0.10724818635204889,0.07219768721307301,10,10,True
incident_zone_mean_response_min,1.0948275862068966,-0.0202008280050389,-0.10808165533552828,0.06767999932545048,10,10,False
incident_zone_mean_response_min,1.1939655172413794,-0.02375653366155736,-0.10700218465470068,0.05948911733158596,10,10,False
incident_zone_mean_response_min,1.293103448275862,-0.027854793086530917,-0.10475275073084014,0.04904316455777832,10,10,False
incident_zone_mean_response_min,1.3922413793103448,-0.03225937054454496,-0.10234043123438635,0.03782169014529643,10,10,False
incident_zone_mean_response_min,1.4913793103448276,-0.036734030300184906,-0.10083394914482963,0.027365888544459815,10,10,False
incident_zone_mean_response_min,1.5905172413793105,-0.04104253661803611,-0.10109664373265226,0.01901157049658004,10,10,False
incident_zone_mean_response_min,1.6896551724137931,-0.04494865376268398,-0.10334532520699971,0.013448017681631758,10,10,False
incident_zone_mean_response_min,1.7887931034482758,-0.04821614599871389,-0.10685683471974945,0.01042454272232167,10,10,False
incident_zone_mean_response_min,1.8879310344827587,-0.05060877759071127,-0.11020833086822077,0.008990775686798229,10,10,False
incident_zone_mean_response_min,1.9870689655172415,-0.05189031280326151,-0.11187908046892414,0.008098454862401135,10,10,False
incident_zone_mean_response_min,2.0,-0.05196318703409029,-0.11190942763542959,0.007983053567249015,10,10,True
incident_zone_mean_response_min,2.086206896551724,-0.05220545707042847,-0.11154862370075372,0.007137709559896767,10,10,False
incident_zone_mean_response_min,2.185344827586207,-0.052095837751290355,-0.1102106290900271,0.006018953587446391,10,10,False
incident_zone_mean_response_min,2.2844827586206895,-0.051607301827469795,-0.10801954732549768,0.004804943670558087,10,10,False
incident_zone_mean_response_min,2.3836206896551726,-0.05077790286221191,-0.10514312379790475,0.003587318073480915,10,10,False
incident_zone_mean_response_min,2.4827586206896552,-0.04964569441876179,-0.10177427888209457,0.0024828900445709873,10,10,False
incident_zone_mean_response_min,2.581896551724138,-0.048248730060364564,-0.09812814464730936,0.0016306845265802311,10,10,False
incident_zone_mean_response_min,2.681034482758621,-0.04662506335026532,-0.09443631251348888,0.0011861858129582417,10,10,False
incident_zone_mean_response_min,2.7801724137931036,-0.044812747851709175,-0.09093469725047013,0.0013092015470517818,10,10,False
incident_zone_mean_response_min,2.8793103448275863,-0.04284983712794124,-0.08784214711462632,0.0021424728587438324,10,10,False
incident_zone_mean_response_min,2.978448275862069,-0.04077438474220661,-0.08533106436917183,0.003782294884758605,10,10,False
incident_zone_mean_response_min,3.0775862068965516,-0.03862444425775041,-0.08349869335840233,0.00624980484290151,10,10,False
incident_zone_mean_response_min,3.1767241379310347,-0.03643806923781773,-0.08235256252932448,0.009476424053689023,10,10,False
incident_zone_mean_response_min,3.2758620689655173,-0.03425331324565367,-0.08181830717573536,0.01331168068442802,10,10,False
incident_zone_mean_response_min,3.375,-0.032108229844503365,-0.08176513024271329,0.017548670553706548,10,10,False
incident_zone_mean_response_min,3.474137931034483,-0.03004087259761189,-0.08203576719615749,0.02195402200093371,10,10,False
incident_zone_mean_response_min,3.5732758620689657,-0.028089295068224385,-0.08247022792899865,0.02629163779254988,10,10,False
incident_zone_mean_response_min,3.6724137931034484,-0.02629155081958594,-0.08292002553118226,0.030336923892010374,10,10,False
incident_zone_mean_response_min,3.771551724137931,-0.024685693414941656,-0.08325485530418524,0.03388346847430192,10,10,False
incident_zone_mean_response_min,3.8706896551724137,-0.02330977641753665,-0.08336517441224167,0.03674562157716837,10,10,False
incident_zone_mean_response_min,3.969827586206897,-0.022201853390616023,-0.0831636398718294,0.038759933090597345,10,10,False
incident_zone_mean_response_min,4.0,-0.02192365464235042,-0.08303012314980535,0.03918281386510451,10,10,True
incident_zone_mean_response_min,4.068965517241379,-0.02252644977542356,-0.08344467175996886,0.03839177220912175,10,10,False
incident_zone_mean_response_min,4.168103448275862,-0.027114561943312614,-0.0871779994848842,0.03294887559825896,10,10,False
incident_zone_mean_response_min,4.267241379310345,-0.035150518346495005,-0.09618742593592397,0.025886389242933967,10,10,False
incident_zone_mean_response_min,4.366379310344827,-0.045586266445819375,-0.11200498995598301,0.02083245706434427,10,10,False
incident_zone_mean_response_min,4.4655172413793105,-0.0573737537021347,-0.13418168019642138,0.019434172792151982,10,10,False
incident_zone_mean_response_min,4.564655172413794,-0.06946492757628966,-0.1601585638425665,0.021228708689987164,10,10,False
incident_zone_mean_response_min,4.663793103448276,-0.08081173552913296,-0.1865823043552578,0.024958833296991875,10,10,False
incident_zone_mean_response_min,4.762931034482759,-0.09036612502151348,-0.2101723000160567,0.029440049973029722,10,10,False
incident_zone_mean_response_min,4.862068965517242,-0.09708004351427996,-0.2279011564183374,0.03374106938977747,10,10,False
incident_zone_mean_response_min,4.961206896551724,-0.09990543846828115,-0.23695263623758359,0.03714175930102129,10,10,False
incident_zone_mean_response_min,5.0,-0.09972511930268979,-0.23755228691741245,0.03810204831203287,10,10,True
incident_zone_mean_response_min,5.060344827586207,-0.09818053051888731,-0.235151214232235,0.038790153194460386,10,10,False
incident_zone_mean_response_min,5.1594827586206895,-0.09316626428876737,-0.22393862492578348,0.03760609634824874,10,10,False
incident_zone_mean_response_min,5.258620689655173,-0.085713477945813,-0.20579336414068022,0.03436640824905425,10,10,False
incident_zone_mean_response_min,5.357758620689656,-0.07655892431928857,-0.18327664759942508,0.030158798960847957,10,10,False
incident_zone_mean_response_min,5.456896551724138,-0.06643935623845856,-0.15912639824649735,0.026247685769580226,10,10,False
incident_zone_mean_response_min,5.556034482758621,-0.05609152653258716,-0.13621728638171926,0.024034233316544945,10,10,False
incident_zone_mean_response_min,5.655172413793103,-0.04625218803093885,-0.11723604417943118,0.02473166811755348,10,10,False
incident_zone_mean_response_min,5.754310344827586,-0.0376580935627779,-0.10383559276811298,0.028519405642557186,10,10,False
incident_zone_mean_response_min,5.853448275862069,-0.031045995957368715,-0.09582547621316861,0.03373348429843118,10,10,False
incident_zone_mean_response_min,5.952586206896552,-0.027152648043975693,-0.09167441342499924,0.03736911733704786,10,10,False
incident_zone_mean_response_min,6.0,-0.026466828509144058,-0.09062821544361938,0.03769455842533126,10,10,True
incident_zone_mean_response_min,6.051724137931035,-0.02643656830819493,-0.08984895995455366,0.0369758233381638,10,10,False
incident_zone_mean_response_min,6.150862068965518,-0.027746034951612097,-0.08875872849408559,0.03326665859086139,10,10,False
incident_zone_mean_response_min,6.25,-0.03069613556375698,-0.08827849267727392,0.026886221549759958,10,10,False
incident_zone_mean_response_min,6.349137931034483,-0.03510056274354463,-0.0886497054209919,0.018448579933902642,10,10,False
incident_zone_mean_response_min,6.448275862068966,-0.040773009089889976,-0.09030900334238734,0.008762985162607394,10,10,False
incident_zone_mean_response_min,6.547413793103448,-0.04752716720170795,-0.09391375768529404,-0.001140576718121858,10,10,False
incident_zone_mean_response_min,6.6465517241379315,-0.055176729677913636,-0.10026160012373728,-0.010091859232090002,10,10,False
incident_zone_mean_response_min,6.745689655172414,-0.06353538911742189,-0.10997571573608836,-0.017095062498755427,10,10,False
incident_zone_mean_response_min,6.844827586206897,-0.07241683811914787,-0.12309312481059632,-0.021740551427699414,10,10,False
incident_zone_mean_response_min,6.94396551724138,-0.08163476928200639,-0.13900744333387124,-0.024262095230141528,10,10,False
incident_zone_mean_response_min,7.043103448275862,-0.09100287520491246,-0.15680896974079295,-0.02519678066903197,10,10,False
incident_zone_mean_response_min,7.142241379310345,-0.10033484848678113,-0.17559925129479048,-0.025070445678771786,10,10,False
incident_zone_mean_response_min,7.241379310344827,-0.10944438172652726,-0.19460087083460126,-0.024287892618453252,10,10,False
incident_zone_mean_response_min,7.3405172413793105,-0.11814516752306599,-0.21315160658980475,-0.023138728456327223,10,10,False
incident_zone_mean_response_min,7.439655172413794,-0.1262508984753122,-0.23067155102330816,-0.021830245927316264,10,10,False
incident_zone_mean_response_min,7.538793103448276,-0.13357526718218082,-0.24663465569499327,-0.020515878669368395,10,10,False
incident_zone_mean_response_min,7.637931034482759,-0.13993196624258694,-0.2605494240236801,-0.01931450846149381,10,10,False
incident_zone_mean_response_min,7.737068965517242,-0.14513468825544548,-0.2719467482331396,-0.018322628277751357,10,10,False
incident_zone_mean_response_min,7.836206896551724,-0.14899712581967145,-0.28037242329202583,-0.017621828347317098,10,10,False
incident_zone_mean_response_min,7.935344827586207,-0.1513329715341797,-0.2853826046623038,-0.017283338406055587,10,10,False
incident_zone_mean_response_min,8.0,-0.15194515816855442,-0.28660201736484225,-0.017288298972266553,10,10,True
incident_zone_mean_response_min,8.03448275862069,-0.15201174577645793,-0.2866760227615206,-0.01734746879139526,10,10,False
incident_zone_mean_response_min,8.133620689655173,-0.15160247133461585,-0.285636322269748,-0.017568620399483703,10,10,False
incident_zone_mean_response_min,8.232758620689655,-0.15037448896851432,-0.282907925442748,-0.01784105249428064,10,10,False
incident_zone_mean_response_min,8.331896551724139,-0.1484206597279962,-0.2787143827242228,-0.018126936731769655,10,10,False
incident_zone_mean_response_min,8.431034482758621,-0.14583384466290444,-0.2732853423613221,-0.018382346964486762,10,10,False
incident_zone_mean_response_min,8.530172413793103,-0.14270690482308193,-0.2668547400669069,-0.018559069579256987,10,10,False
incident_zone_mean_response_min,8.629310344827587,-0.13913270125837154,-0.25965889591214636,-0.01860650660459673,10,10,False
incident_zone_mean_response_min,8.72844827586207,-0.13520409501861624,-0.25193418247917365,-0.018474007558058864,10,10,False
incident_zone_mean_response_min,8.827586206896552,-0.13101394715365897,-0.24391396150550393,-0.01811393280181399,10,10,False
incident_zone_mean_response_min,8.926724137931036,-0.1266551187133425,-0.2358245542702514,-0.017485683156433618,10,10,False
incident_zone_mean_response_min,9.025862068965518,-0.12222047074750993,-0.2278801655117489,-0.01656077598327095,10,10,False
incident_zone_mean_response_min,9.125,-0.11780286430600409,-0.2202769632218054,-0.015328765390202781,10,10,False
incident_zone_mean_response_min,9.224137931034484,-0.11349516043866778,-0.21318692419679147,-0.013803396680544075,10,10,False
incident_zone_mean_response_min,9.323275862068966,-0.1093902201953441,-0.2067524980765322,-0.012027942314155993,10,10,False
incident_zone_mean_response_min,9.422413793103448,-0.10558090462587585,-0.20108343530942208,-0.010078373942329633,10,10,False
incident_zone_mean_response_min,9.52155172413793,-0.10216007478010598,-0.1962570590267434,-0.008063090533468584,10,10,False
incident_zone_mean_response_min,9.620689655172415,-0.09922059170787731,-0.19232275632340023,-0.006118427092354398,10,10,False
incident_zone_mean_response_min,9.719827586206897,-0.0968553164590329,-0.18931068380485977,-0.004399949113206042,10,10,False
incident_zone_mean_response_min,9.818965517241379,-0.09515711008341557,-0.1872439769280435,-0.003070243238787615,10,10,False
incident_zone_mean_response_min,9.918103448275863,-0.09421883363086822,-0.18615343617571836,-0.0022842310860180792,10,10,False
incident_zone_mean_response_min,10.0,-0.09408289577070157,-0.1860265747373509,-0.002139216804052227,10,10,True
incident_zone_mean_response_min,10.017241379310345,-0.09421227355325983,-0.18615960668580972,-0.002264940420709932,10,10,False
incident_zone_mean_response_min,10.116379310344827,-0.09827758324125782,-0.19000121101922635,-0.006553955463289296,10,10,False
incident_zone_mean_response_min,10.215517241379311,-0.1070845758738456,-0.1991289764627434,-0.015040175284947763,10,10,False
incident_zone_mean_response_min,10.314655172413794,-0.11936782300409285,-0.2139592997310226,-0.024776346277163103,10,10,False
incident_zone_mean_response_min,10.413793103448276,-0.13386189618506966,-0.2344594086080321,-0.033264383762107205,10,10,False
incident_zone_mean_response_min,10.51293103448276,-0.14930136696984625,-0.25939665197508255,-0.039206081964609965,10,10,False
incident_zone_mean_response_min,10.612068965517242,-0.16442080691149202,-0.28635369627698537,-0.04248791754599868,10,10,False
incident_zone_mean_response_min,10.711206896551724,-0.17795478756307717,-0.31227258438048244,-0.0436369907456719,10,10,False
incident_zone_mean_response_min,10.810344827586206,-0.18863788047767174,-0.33394487518039573,-0.04333088577494776,10,10,False
