incident_zone,duration_hours,start_hour,expected_extra_calls
1,0.5,17.75,3.264816585707215
1,1.0,17.5,6.513434387323166
1,2.0,17.0,12.900171135952949
1,4.0,16.0,24.87300804250621
1,5.0,15.483333333333333,30.323647528600304
1,6.0,14.983333333333333,35.38643757971551
1,8.0,13.883333333333333,44.4594895933379
1,10.0,10.266666666666666,52.84773836283431
1,11.0,8.7,58.66650525584123
1,12.0,8.05,64.40997615331645
2,0.5,17.75,1.7490088852002936
2,1.0,17.5,3.489339850351696
2,2.0,17.0,6.910805965689079
2,4.0,16.0,13.3248257370569
2,5.0,15.483333333333333,16.244811176035878
2,6.0,14.983333333333333,18.95702013199045
2,8.0,13.883333333333333,23.817583710716733
2,10.0,10.266666666666666,28.31128840866124
2,11.0,8.7,31.428484958486372
2,12.0,8.05,34.5053443678481
3,0.5,17.75,2.098810662240352
3,1.0,17.5,4.187207820422035
3,2.0,17.0,8.292967158826894
3,4.0,16.0,15.98979088446828
3,5.0,15.483333333333333,19.493773411243055
3,6.0,14.983333333333333,22.74842415838854
3,8.0,13.883333333333333,28.58110045286008
3,10.0,10.266666666666666,33.973546090393484
3,11.0,8.7,37.714181950183644
3,12.0,8.05,41.40641324141773
4,0.5,17.75,1.1660059234668625
4,1.0,17.5,2.3262265669011306
4,2.0,17.0,4.607203977126052
4,4.0,16.0,8.883217158037933
4,5.0,15.483333333333333,10.829874117357253
4,6.0,14.983333333333333,12.638013421326967
4,8.0,13.883333333333333,15.878389140477822
4,10.0,10.266666666666666,18.874192272440826
4,11.0,8.7,20.95232330565758
4,12.0,8.05,23.003562911898733
5,0.5,17.75,0.93280473877349
5,1.0,17.5,1.8609812535209045
5,2.0,17.0,3.685763181700842
5,4.0,16.0,7.106573726430347
5,5.0,15.483333333333333,8.663899293885802
5,6.0,14.983333333333333,10.110410737061574
5,8.0,13.883333333333333,12.702711312382258
5,10.0,10.266666666666666,15.099353817952661
5,11.0,8.7,16.761858644526065
5,12.0,8.05,18.402850329518987
6,0.5,17.75,0.6996035540801174
6,1.0,17.5,1.3957359401406784
6,2.0,17.0,2.7643223862756314
6,4.0,16.0,5.32993029482276
6,5.0,15.483333333333333,6.497924470414351
6,6.0,14.983333333333333,7.582808052796181
6,8.0,13.883333333333333,9.527033484286694
6,10.0,10.266666666666666,11.324515363464496
6,11.0,8.7,12.571393983394548
6,12.0,8.05,13.80213774713924
7,0.5,17.75,2.3320118469337245
7,1.0,17.5,4.652453133802261
7,2.0,17.0,9.214407954252104
7,4.0,16.0,17.766434316075866
7,5.0,15.483333333333333,21.659748234714506
7,6.0,14.983333333333333,25.276026842653934
7,8.0,13.883333333333333,31.756778280955643
7,10.0,10.266666666666666,37.74838454488165
7,11.0,8.7,41.90464661131516
7,12.0,8.05,46.007125823797466
8,0.5,17.75,2.5652130316270974
8,1.0,17.5,5.117698447182487
8,2.0,17.0,10.135848749677317
8,4.0,16.0,19.54307774768345
8,5.0,15.483333333333333,23.825723058185954
8,6.0,14.983333333333333,27.80362952691933
8,8.0,13.883333333333333,34.93245610905121
8,10.0,10.266666666666666,41.52322299936982
8,11.0,8.7,46.09511127244668
8,12.0,8.05,50.607838406177216
9,0.5,17.75,1.049405331120176
9,1.0,17.5,2.093603910211017
9,2.0,17.0,4.146483579413447
9,4.0,16.0,7.9948954422341405
9,5.0,15.483333333333333,9.746886705621527
9,6.0,14.983333333333333,11.37421207919427
9,8.0,13.883333333333333,14.29055022643004
9,10.0,10.266666666666666,16.986773045196742
9,11.0,8.7,18.857090975091822
9,12.0,8.05,20.703206620708865
10,0.5,17.75,0.4664023693867449
10,1.0,17.5,0.9304906267604522
10,2.0,17.0,1.842881590850421
10,4.0,16.0,3.553286863215173
10,5.0,15.483333333333333,4.331949646942901
10,6.0,14.983333333333333,5.055205368530787
10,8.0,13.883333333333333,6.351355656191129
10,10.0,10.266666666666666,7.5496769089763305
10,11.0,8.7,8.380929322263032
10,12.0,8.05,9.201425164759494
