incident_zone,duration_hours,metric,B_N_mean,B_E_mean,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
1,0.5,p95_response_min,11.613744302447007,11.606411203518038,-0.007333098928968518,-0.023921721196642494,0.00925552333870546,10
1,1.0,p95_response_min,17.948065531996587,17.981660403830166,0.03359487183357572,-0.04240200811803525,0.1095917517851867,10
1,2.0,p95_response_min,23.362173539800374,23.31887701693386,-0.04329652286651253,-0.1412400621932501,0.054647016460225045,10
1,4.0,p95_response_min,60.12327295010734,60.06471811682884,-0.05855483327850593,-0.19101506879593277,0.0739054022389209,10
1,5.0,p95_response_min,142.30703037471332,142.30703037471332,0.0,0.0,0.0,10
1,6.0,p95_response_min,227.33794512584387,227.33794512584387,0.0,0.0,0.0,10
1,8.0,p95_response_min,248.89982292417372,248.89982292417372,0.0,0.0,0.0,10
1,10.0,p95_response_min,328.4710369581559,328.4710369581559,0.0,0.0,0.0,10
1,11.0,p95_response_min,367.0227062841262,367.0227062841262,0.0,0.0,0.0,10
1,12.0,p95_response_min,386.18195426906505,386.18195426906505,0.0,0.0,0.0,10
2,0.5,p95_response_min,10.691606614821172,10.691606614821172,0.0,0.0,0.0,9
2,1.0,p95_response_min,11.418103341093454,11.483164266958463,0.0650609258650082,-0.08211711359880311,0.2122389653288195,10
2,2.0,p95_response_min,14.461435574473331,14.902008955938902,0.44057338146557007,-0.22102405634801808,1.1021708192791582,10
2,4.0,p95_response_min,20.86165713660805,21.125393184281045,0.2637360476729954,-0.3868051962593996,0.9142772916053904,10
2,5.0,p95_response_min,26.67837479244916,26.67837479244916,0.0,0.0,0.0,10
2,6.0,p95_response_min,36.110459085326504,36.110459085326504,0.0,0.0,0.0,10
2,8.0,p95_response_min,133.14521929029658,133.14521929029658,0.0,0.0,0.0,10
2,10.0,p95_response_min,51.1922580375488,51.18628675937732,-0.005971278171478467,-1.9282973907252394,1.9163548343822825,10
2,11.0,p95_response_min,68.41120097481318,68.72845585539821,0.31725488058502177,-0.2576240770707762,0.8921338382408197,10
2,12.0,p95_response_min,126.94558989378918,127.7943020660404,0.8487121722512263,-0.9627930894496812,2.660217433952134,10
