duration_hours,metric,B_N_mean,B_E_mean,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,incident_zone_scenarios
0.5,mean_response_min,6.170649840059072,6.15998233463833,-0.010667505420741286,-0.05414690300849516,0.032811892167012593,10,10
1.0,mean_response_min,6.791557143399723,6.805021893207882,0.01346474980815877,-0.018470304106174788,0.04539980372249233,10,10
2.0,mean_response_min,7.959448501084365,7.936882680152735,-0.02256582093163164,-0.05349485154570758,0.008363209682444299,10,10
4.0,mean_response_min,9.866570794963376,9.892970714235542,0.026399919272165118,-0.043499303567501355,0.09629914211183159,10,10
5.0,mean_response_min,12.379898887882025,12.34185796974294,-0.038040918139083765,-0.08574281805746975,0.009660981779302219,10,10
6.0,mean_response_min,16.948899944577946,16.96871384960979,0.019813905031846612,-0.026003448404906527,0.06563125846859975,10,10
8.0,mean_response_min,28.667958482385018,28.603053561486995,-0.06490492089802088,-0.13178438149549593,0.0019745396994541448,10,10
10.0,mean_response_min,24.472760294062947,24.415532277763084,-0.05722801629986272,-0.12210868739083736,0.007652654791111928,10,10
11.0,mean_response_min,25.02254222442635,24.92444923067087,-0.09809299375548175,-0.19686213251445567,0.0006761450034921679,10,10
12.0,mean_response_min,31.638578895330152,31.59200428614409,-0.04657460918606517,-0.11416010485282782,0.021010886480697467,10,10
