round,duration_hours,left_hours,right_hours,curvature_score,uncertainty_score,reason,acquisition_score
1,6.0,4.0,8.0,0.19192203676558842,1.398676857530281,high_uncertainty,1.398676857530281
1,10.0,8.0,12.0,0.19192203676558842,1.7621322676307183,high_uncertainty,1.7621322676307183
2,5.0,4.0,6.0,0.3640938300578853,0.3648748110472122,high_uncertainty,0.3648748110472122
2,11.0,10.0,12.0,0.3502899602175846,1.7621322676307183,high_uncertainty,1.7621322676307183
