mode,incident_zone,duration_hours,start_hour,seed,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,max_daily_dispatches_per_ambulance
B_E,1,0.5,17.75,600000,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.261361101768092,10.169487816154682,0.5,0.0,352.2722203536184,3,3.0,3.0,1.0,0.0,0.0,7,6.230515859668704,10.62549153851772,0.2857142857142857,0.0,503.24602907659767,1,0,12
B_N,1,0.5,17.75,600000,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.261361101768092,10.169487816154682,0.5,0.0,352.2722203536184,3,3.0,3.0,1.0,0.0,0.0,7,6.230515859668704,10.62549153851772,0.2857142857142857,0.0,503.24602907659767,1,0,12
B_E,1,0.5,17.75,600001,961676940394df98d74dbd90bac1b0cc339cca2612be52a49cee1b40538ec714,10,6.034371068063358,10.697418943069293,0.5,0.0,506.8742136126715,8,6.792963835079197,10.860823717301823,0.375,0.0,633.5927670158394,2,3.0,3.0,1.0,0.0,0.0,1,0,12
B_N,1,0.5,17.75,600001,961676940394df98d74dbd90bac1b0cc339cca2612be52a49cee1b40538ec714,10,6.034371068063358,10.697418943069293,0.5,0.0,506.8742136126715,8,6.792963835079197,10.860823717301823,0.375,0.0,633.5927670158394,2,3.0,3.0,1.0,0.0,0.0,1,0,12
B_E,1,0.5,17.75,600002,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,12
B_N,1,0.5,17.75,600002,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,12
B_E,1,0.5,17.75,600003,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,10.4367843408316,21.78832306536181,0.0909090909090909,3.824208555309848,1305.5386863481383,3,17.358040099404608,25.79841433477485,0.0,10.259317815311078,2671.608019880922,8,7.841313431366722,13.94261562434212,0.125,1.4110425828093869,793.2626862733445,3,3,12
B_N,1,0.5,17.75,600003,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,10.4367843408316,21.78832306536181,0.0909090909090909,3.824208555309848,1305.5386863481383,3,17.358040099404608,25.79841433477485,0.0,10.259317815311078,2671.608019880922,8,7.841313431366722,13.94261562434212,0.125,1.4110425828093869,793.2626862733445,3,3,12
B_E,1,0.5,17.75,600004,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,5.859817178450988,8.497474167490214,0.4285714285714285,0.0,457.67772140448335,5,5.198989666996086,8.497474167490214,0.6,0.0,359.7979333992172,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,12
B_N,1,0.5,17.75,600004,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,5.859817178450988,8.497474167490214,0.4285714285714285,0.0,457.67772140448335,5,5.198989666996086,8.497474167490214,0.6,0.0,359.7979333992172,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,12
