incident_zone,mode,metric,duration_hours,mean,ci95_low,ci95_high,replications,sampled_node
1,B_N,mean_response_min,0.5,6.977905542065642,4.4151080773693225,9.540703006761962,10,True
1,B_N,mean_response_min,0.5991379310344828,7.493629816116494,4.696733905538949,10.290525726694039,10,False
1,B_N,mean_response_min,0.6982758620689655,8.013123128431639,4.942167204268301,11.084079052594976,10,False
1,B_N,mean_response_min,0.7974137931034483,8.486672750556991,5.151692177090949,11.821653324023034,10,False
1,B_N,mean_response_min,0.896551724137931,8.864565954038472,5.325178703557635,12.40395320451931,10,False
1,B_N,mean_response_min,0.9956896551724138,9.097090010421992,5.4570649693416104,12.737115051502373,10,False
1,B_N,mean_response_min,1.0,9.103134010444881,5.46167618963643,12.744591831253333,10,True
1,B_N,mean_response_min,1.0948275862068966,9.24044570713121,5.594330401333456,12.886561012928965,10,False
1,B_N,mean_response_min,1.1939655172413794,9.401674848809293,5.791044032886189,13.012305664732397,10,False
1,B_N,mean_response_min,1.293103448275862,9.58043007051904,6.027604137015759,13.13325600402232,10,False
1,B_N,mean_response_min,1.3922413793103448,9.776160666725115,6.282420629787071,13.26990070366316,10,False
1,B_N,mean_response_min,1.4913793103448276,9.988315931892192,6.53395373678426,13.442678127000125,10,False
1,B_N,mean_response_min,1.5905172413793105,10.216345160484929,6.763338715382199,13.669351605587659,10,False
1,B_N,mean_response_min,1.6896551724137931,10.459697646967992,6.957346471678349,13.962048822257636,10,False
1,B_N,mean_response_min,1.7887931034482758,10.717822685806052,7.1105432272340465,14.325102144378057,10,False
1,B_N,mean_response_min,1.8879310344827587,10.990169571463769,7.225463478771472,14.754875664156065,10,False
1,B_N,mean_response_min,1.9870689655172415,11.276187598405812,7.310624200627123,15.241750996184502,10,False
1,B_N,mean_response_min,2.0,11.31447335685597,7.32012325434806,15.30882345936388,10,True
1,B_N,mean_response_min,2.086206896551724,11.578914994149574,7.373814600695153,15.784015387603997,10,False
1,B_N,mean_response_min,2.185344827586207,11.90353487615636,7.4145040982253905,16.39256565408733,10,False
1,B_N,mean_response_min,2.2844827586206895,12.249424567283299,7.4339862093565925,17.064862925210004,10,False
1,B_N,mean_response_min,2.3836206896551726,12.615880205111555,7.434543410859436,17.797216999363673,10,False
1,B_N,mean_response_min,2.4827586206896552,13.002197927222284,7.419137589844047,18.58525826460052,10,False
1,B_N,mean_response_min,2.581896551724138,13.407673871196653,7.391163719709926,19.42418402268338,10,False
1,B_N,mean_response_min,2.681034482758621,13.831604174615824,7.3542539886473985,20.308954360584252,10,False
1,B_N,mean_response_min,2.7801724137931036,14.273284975060955,7.312139006330961,21.234430943790947,10,False
1,B_N,mean_response_min,2.8793103448275863,14.732012410113214,7.268558209628159,22.195466610598267,10,False
1,B_N,mean_response_min,2.978448275862069,15.207082617353759,7.227206918773789,23.18695831593373,10,False
1,B_N,mean_response_min,3.0775862068965516,15.697791734363758,7.191708109206804,24.203875359520712,10,False
1,B_N,mean_response_min,3.1767241379310347,16.203435898724372,7.165599534371799,25.241272263076944,10,False
1,B_N,mean_response_min,3.2758620689655173,16.723311248016753,7.152329592483355,26.29429290355015,10,False
1,B_N,mean_response_min,3.375,17.25671391982208,7.155257584205147,27.358170255439013,10,False
1,B_N,mean_response_min,3.474137931034483,17.8029400517215,7.177655624797584,28.428224478645415,10,False
1,B_N,mean_response_min,3.5732758620689657,18.361285781296186,7.222710541392187,29.499861021200182,10,False
1,B_N,mean_response_min,3.6724137931034484,18.931047246127292,7.293524744420466,30.56856974783412,10,False
1,B_N,mean_response_min,3.771551724137931,19.51152058379599,7.393115438306989,31.629925729284988,10,False
1,B_N,mean_response_min,3.8706896551724137,20.102001931883432,7.524411724260961,32.6795921395059,10,False
1,B_N,mean_response_min,3.969827586206897,20.70178742797079,7.690249209957344,33.713325645984234,10,False
1,B_N,mean_response_min,4.0,20.88607028690432,7.747997179689623,34.02414339411902,10,True
1,B_N,mean_response_min,4.068965517241379,21.377282356624953,7.959552680170958,34.79501203307895,10,False
1,B_N,mean_response_min,4.168103448275862,22.30492083535363,8.507671589315017,36.102170081392245,10,False
1,B_N,mean_response_min,4.267241379310345,23.45522411591068,9.300338636356798,37.610109595464564,10,False
1,B_N,mean_response_min,4.366379310344827,24.785215738347524,10.287186269550553,39.283245207144496,10,False
1,B_N,mean_response_min,4.4655172413793105,26.251919242715662,11.41983764123651,41.08400084419481,10,False
1,B_N,mean_response_min,4.564655172413794,27.81235816906652,12.654743264535622,42.969973073597416,10,False
1,B_N,mean_response_min,4.663793103448276,29.42355605745153,13.954380870622865,44.8927312442802,10,False
1,B_N,mean_response_min,4.762931034482759,31.042536447922203,15.287080098973018,46.797992796871384,10,False
