incident_zone,metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,sampled_node
1,mean_response_min,0.5,-0.019798035858007258,-0.06458430448353407,0.024988232767519557,10,True
1,mean_response_min,0.5991379310344828,-0.010328357131072765,-0.03864173212245538,0.01798501786030985,10,False
1,mean_response_min,0.6982758620689655,-0.0012820765521184615,-0.015537263360149007,0.012973110255912083,10,False
1,mean_response_min,0.7974137931034483,0.006398523418108637,-0.004918835913722392,0.017715882749939665,10,False
1,mean_response_min,0.896551724137931,0.0117711603188615,-0.005981298084468163,0.029523618722191163,10,False
1,mean_response_min,0.9956896551724138,0.013893551689393113,-0.007175236922296775,0.034962340301083,10,False
1,mean_response_min,1.0,0.013897540196506597,-0.007177688006576888,0.034972768399590085,10,True
1,mean_response_min,1.0948275862068966,0.013836771986581998,-0.006607226270025506,0.0342807702431895,10,False
1,mean_response_min,1.1939655172413794,0.013676703902553086,-0.005072903289816712,0.03242631109492289,10,False
1,mean_response_min,1.293103448275862,0.013469562328893759,-0.0032375950201849173,0.030176719677972433,10,False
1,mean_response_min,1.3922413793103448,0.013267715703423411,-0.0021113881644126507,0.028646819571259474,10,False
1,mean_response_min,1.4913793103448276,0.013123532463961432,-0.0027567124526647925,0.029003777380587657,10,False
1,mean_response_min,1.5905172413793105,0.013089381048327223,-0.005382371098556755,0.0315611331952112,10,False
1,mean_response_min,1.6896551724137931,0.013217629894340171,-0.009189811580567647,0.03562507136924799,10,False
1,mean_response_min,1.7887931034482758,0.013560647439819676,-0.013206062752714784,0.040327357632354136,10,False
1,mean_response_min,1.8879310344827587,0.01417080212258513,-0.016676460322653474,0.04501806456782373,10,False
1,mean_response_min,1.9870689655172415,0.015100462380455926,-0.01904178647843973,0.04924271123935158,10,False
1,mean_response_min,2.0,0.015248019380949173,-0.019245396880150856,0.049741435642049206,10,True
1,mean_response_min,2.086206896551724,0.016162411244686287,-0.02065999558024456,0.052984818069617134,10,False
1,mean_response_min,2.185344827586207,0.017000636045853258,-0.022628124578963724,0.05662939667067024,10,False
1,mean_response_min,2.2844827586206895,0.01762847245720746,-0.02493572380148438,0.060192668715899296,10,False
1,mean_response_min,2.3836206896551726,0.018064551158928015,-0.027558862167469986,0.06368796448532602,10,False
1,mean_response_min,2.4827586206896552,0.018327502831194054,-0.030471002187558868,0.06712600784994698,10,False
1,mean_response_min,2.581896551724138,0.018435958154184695,-0.03363994045688795,0.07051185676525734,10,False
1,mean_response_min,2.681034482758621,0.01840854780807908,-0.03702658568347723,0.0738436812996354,10,False
1,mean_response_min,2.7801724137931036,0.01826390247305633,-0.04058487971734032,0.07711268466345297,10,False
1,mean_response_min,2.8793103448275863,0.018020652829295568,-0.04426236838418476,0.08030367404277589,10,False
1,mean_response_min,2.978448275862069,0.017697429556975917,-0.04800108487464368,0.08339594398859551,10,False
1,mean_response_min,3.0775862068965516,0.01731286333627652,-0.05173852961975939,0.08636425629231242,10,False
1,mean_response_min,3.1767241379310347,0.0168855848473765,-0.05540862128637522,0.08917979098112822,10,False
1,mean_response_min,3.2758620689655173,0.01643422477045497,-0.0589425573858032,0.09181100692671315,10,False
1,mean_response_min,3.375,0.015977413785691084,-0.06226956487042313,0.0942243924418053,10,False
1,mean_response_min,3.474137931034483,0.015533782573263936,-0.06531754666513175,0.09638511181165961,10,False
1,mean_response_min,3.5732758620689657,0.01512196181335268,-0.06801364486005054,0.0982575684867559,10,False
1,mean_response_min,3.6724137931034484,0.014760582186136437,-0.07028475003168377,0.09980591440395664,10,False
1,mean_response_min,3.771551724137931,0.014468274371794331,-0.07205799276644134,0.10099454151003001,10,False
1,mean_response_min,3.8706896551724137,0.014263669050505478,-0.07326126131847346,0.10178859941948443,10,False
1,mean_response_min,3.969827586206897,0.014165396902449024,-0.07382380196129432,0.10215459576619237,10,False
1,mean_response_min,4.0,0.014159434279027928,-0.07385729672845426,0.1021761652865101,10,True
1,mean_response_min,4.068965517241379,0.013907266100255755,-0.07291795527744904,0.10073248747796054,10,False
1,mean_response_min,4.168103448275862,0.01275392839052183,-0.06867719632758253,0.0941850531086262,10,False
1,mean_response_min,4.267241379310345,0.01084167008588253,-0.06178499948900807,0.08346833966077313,10,False
1,mean_response_min,4.366379310344827,0.008363993970926294,-0.05309944576823375,0.06982743371008635,10,False
1,mean_response_min,4.4655172413793105,0.005514402830241498,-0.043512676054570106,0.054541481715053096,10,False
1,mean_response_min,4.564655172413794,0.0024863994484165737,-0.03400407668945015,0.0389768755862833,10,False
1,mean_response_min,4.663793103448276,-0.0005265133899600607,-0.02579925140040131,0.02474622462048119,10,False
1,mean_response_min,4.762931034482759,-0.0033308329003000217,-0.020753430944536497,0.014091765143936456,10,False
1,mean_response_min,4.862068965517242,-0.005733056298014896,-0.02089366191085926,0.009427549314829468,10,False
1,mean_response_min,4.961206896551724,-0.007539680798516239,-0.024627500737150948,0.00954813914011847,10,False
1,mean_response_min,5.0,-0.008042505516852927,-0.026235916978645853,0.01015090594494,10,True
1,mean_response_min,5.060344827586207,-0.00891624234495048,-0.02940718848410405,0.011574703794203091,10,False
1,mean_response_min,5.1594827586206895,-0.011081325001806325,-0.03740740962997081,0.015244759626358156,10,False
