mode,incident_zone,duration_hours,start_hour,metric,mean,ci95_low,ci95_high,replications
B_E,1,0.5,17.75,calls,7.2,4.506438743707875,9.893561256292125,10
B_E,1,0.5,17.75,mean_response_min,6.958107506207635,4.398603548609213,9.517611463806057,10
B_E,1,0.5,17.75,p95_response_min,11.606411203518038,6.3522088823737,16.860613524662377,10
B_E,1,0.5,17.75,strict_4min_rate,0.4329004329004329,0.22006901883359475,0.645731846967271,10
B_E,1,0.5,17.75,mean_wait_min,1.0545754506819294,-0.6091733865185722,2.7183242878824307,10
B_E,1,0.5,17.75,mean_delay_penalty_yuan_per_call,678.2015878216134,201.5923675437707,1154.8108080994562,10
B_E,1,0.5,17.75,incident_zone_calls,4.1,2.301304481447624,5.898695518552375,10
B_E,1,0.5,17.75,incident_zone_mean_response_min,7.728973659824466,3.925082180115688,11.532865139533245,10
B_E,1,0.5,17.75,incident_zone_p95_response_min,11.279305198381607,4.904936938733362,17.65367345802985,10
B_E,1,0.5,17.75,incident_zone_strict_4min_rate,0.4927380952380953,0.19123085458817873,0.7942453358880119,10
B_E,1,0.5,17.75,incident_zone_mean_wait_min,1.7728564763455197,-0.9418687996180182,4.487581752309057,10
B_E,1,0.5,17.75,incident_zone_mean_delay_penalty_yuan_per_call,844.3423510125122,136.69653429172502,1551.9881677332992,10
B_E,1,0.5,17.75,nonincident_zone_calls,3.1,1.092180642337937,5.107819357662063,10
B_E,1,0.5,17.75,nonincident_zone_mean_response_min,6.937562122452286,4.331663138243048,9.543461106661525,8
B_E,1,0.5,17.75,nonincident_zone_p95_response_min,10.030392479205663,4.552942404105923,15.507842554305402,8
B_E,1,0.5,17.75,nonincident_zone_strict_4min_rate,0.2950892857142857,0.02086565540557589,0.5693129160229955,8
B_E,1,0.5,17.75,nonincident_zone_mean_wait_min,0.8857258923787867,-0.7838631500918949,2.555314934849468,8
B_E,1,0.5,17.75,nonincident_zone_mean_delay_penalty_yuan_per_call,646.5302816333144,158.11356414192966,1134.9469991246992,8
B_E,1,0.5,17.75,max_incident_queue,1.6,0.6343417761336327,2.565658223866367,10
B_E,1,0.5,17.75,incident_end_backlog,0.8,-0.45272591134470774,2.052725911344708,10
B_E,1,1.0,17.5,calls,13.3,9.778486544004206,16.821513455995795,10
B_E,1,1.0,17.5,mean_response_min,9.117031550641387,5.476149405056322,12.757913696226453,10
B_E,1,1.0,17.5,p95_response_min,17.981660403830166,9.552853511995309,26.410467295665022,10
B_E,1,1.0,17.5,strict_4min_rate,0.4115567765567765,0.23006873330448732,0.5930448198090658,10
B_E,1,1.0,17.5,mean_wait_min,2.8117039999115945,-0.0786287064029656,5.7020367062261545,10
B_E,1,1.0,17.5,mean_delay_penalty_yuan_per_call,1105.7176654396326,405.5796362911042,1805.855694588161,10
B_E,1,1.0,17.5,incident_zone_calls,8.2,6.268683552267264,10.131316447732734,10
B_E,1,1.0,17.5,incident_zone_mean_response_min,9.077725950895532,5.196821528222784,12.95863037356828,10
B_E,1,1.0,17.5,incident_zone_p95_response_min,16.075039928366962,8.41007867419027,23.740001182543654,10
B_E,1,1.0,17.5,incident_zone_strict_4min_rate,0.46512987012987006,0.2651611319209202,0.66509860833882,10
B_E,1,1.0,17.5,incident_zone_mean_wait_min,2.807414723795201,-0.2602608165194158,5.875090264109819,10
B_E,1,1.0,17.5,incident_zone_mean_delay_penalty_yuan_per_call,1108.5711642050808,362.8339278349654,1854.3084005751962,10
B_E,1,1.0,17.5,nonincident_zone_calls,5.1,2.5439959727579304,7.656004027242069,10
B_E,1,1.0,17.5,nonincident_zone_mean_response_min,9.449004603506465,5.755092059025106,13.142917147987824,9
B_E,1,1.0,17.5,nonincident_zone_p95_response_min,17.66547616060056,8.807361725155918,26.5235905960452,9
B_E,1,1.0,17.5,nonincident_zone_strict_4min_rate,0.30246913580246915,0.12918817279758127,0.475750098807357,9
B_E,1,1.0,17.5,nonincident_zone_mean_wait_min,3.0041841955113053,0.002372681559218215,6.0059957094633925,9
B_E,1,1.0,17.5,nonincident_zone_mean_delay_penalty_yuan_per_call,1150.2947478617866,430.96394633330783,1869.6255493902654,9
B_E,1,1.0,17.5,max_incident_queue,2.9,0.9496409121126548,4.850359087887345,10
B_E,1,1.0,17.5,incident_end_backlog,1.0,-0.011667438360968951,2.011667438360969,10
B_E,1,2.0,17.0,calls,26.2,22.21278088253075,30.187219117469247,10
B_E,1,2.0,17.0,mean_response_min,11.329721376236918,7.32183845294448,15.337604299529357,10
B_E,1,2.0,17.0,p95_response_min,23.31887701693386,12.375539299753445,34.26221473411428,10
B_E,1,2.0,17.0,strict_4min_rate,0.23281902257007445,0.16251568428121577,0.3031223608589331,10
B_E,1,2.0,17.0,mean_wait_min,4.050600607652527,0.6286211985672083,7.4725800167378456,10
B_E,1,2.0,17.0,mean_delay_penalty_yuan_per_call,1512.5080797613984,722.5721072976268,2302.4440522251703,10
B_E,1,2.0,17.0,incident_zone_calls,14.5,12.016201339640975,16.983798660359025,10
B_E,1,2.0,17.0,incident_zone_mean_response_min,11.440878716773131,7.496810065367976,15.384947368178286,10
B_E,1,2.0,17.0,incident_zone_p95_response_min,23.552413993800496,12.679675422470336,34.42515256513066,10
B_E,1,2.0,17.0,incident_zone_strict_4min_rate,0.3108424908424908,0.22288956857531028,0.39879541310967137,10
B_E,1,2.0,17.0,incident_zone_mean_wait_min,4.134837611722794,0.5446448064977467,7.725030416947842,10
B_E,1,2.0,17.0,incident_zone_mean_delay_penalty_yuan_per_call,1550.3442415231243,776.7465213245065,2323.9419617217422,10
B_E,1,2.0,17.0,nonincident_zone_calls,11.7,9.338238584905927,14.061761415094072,10
B_E,1,2.0,17.0,nonincident_zone_mean_response_min,11.175149483699851,6.899298058956004,15.4510009084437,10
B_E,1,2.0,17.0,nonincident_zone_p95_response_min,21.12118301524594,9.795936931665835,32.446429098826044,10
B_E,1,2.0,17.0,nonincident_zone_strict_4min_rate,0.1307493894993895,0.044173763205924435,0.21732501579285457,10
