duration_hours,external_count,replications,mean_response_min_n,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_n,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_n,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_n,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_n,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_n,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_n,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_n,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
0.5,0,9,9,6.406334922755693,4.149882135326047,8.66278771018534,9,0.0,0.0,0.0,0,,,,9,4802.609037425041,-239.91734377210196,9845.135418622183,9,0.0,0.0,0.0,0,,,,0,,,,9,0.0,0.0,0.0,10
0.5,1,9,9,5.5957409928950455,3.9141551083019532,7.277326877488138,9,0.8105939298606475,0.16392075097915537,1.4572671087421396,9,0.8105939298606475,0.16392075097915537,1.4572671087421396,9,3475.724279578381,-82.87523416013573,7034.3237933168975,9,1326.88475784666,-182.41087179889223,2836.1803874922125,9,1326.88475784666,-182.41087179889223,2836.1803874922125,9,1326.88475784666,-182.41087179889223,2836.1803874922125,9,0.911111111111111,0.8135444206950062,1.0086778015272158,10
0.5,2,9,9,5.123185562107292,3.8582552797828353,6.3881158444317485,9,1.2831493606484017,0.17532429486803025,2.390974426428773,9,0.47255543078775425,7.124325965357503e-05,0.9450396183158549,9,2587.743240248795,39.595762581464896,5135.890717916125,9,2214.865797176247,-354.45662773708636,4784.18822208958,9,1107.4328985881234,-177.22831386854318,2392.09411104479,9,887.9810393295871,-175.83090841519913,1951.7929870743733,9,1.6,1.2761543963200948,1.9238456036799054,10
0.5,3,9,9,4.8926757796002,3.8676350797377683,5.917716479462632,9,1.513659143155493,0.11873319885969891,2.9085850874512875,9,0.23050978250709153,-0.09865961599458711,0.5596791810087702,9,2133.438867907109,222.02081190257354,4044.856923911644,9,2669.1701695179327,-525.0872721862679,5863.427611222133,9,889.723389839311,-175.0290907287556,1954.4758704073777,9,454.30437234168585,-251.93278106140394,1160.5415257447758,9,2.1444444444444444,1.5488989270725328,2.739989961816356,10
0.5,4,9,9,4.757724989784894,3.8570712025601015,5.658378777009686,9,1.6486099329708006,0.0718754992546673,3.225344366686934,9,0.13495078981530748,-0.06272860887067991,0.3326301885012949,9,1856.6774944394435,316.84063135095175,3396.5143575279353,9,2945.931542985598,-656.1669075764703,6548.029993547666,9,736.4828857463995,-164.04172689411757,1637.0074983869165,9,276.7613734676651,-166.7984741755908,720.321221110921,9,2.5555555555555554,1.6748424979926742,3.4362686131184366,10
0.5,5,9,9,4.687038754899642,3.8347961336073886,5.539281376191895,9,1.7192961678560514,0.04114473817243547,3.397447597539667,9,0.07068623488525062,-0.03683350125953251,0.17820597103003377,9,1714.0200207026926,350.1098964747166,3077.9301449306686,9,3088.589016722349,-734.45781920545,6911.635852650148,9,617.7178033444699,-146.89156384109003,1382.32717053003,9,142.6574737367512,-89.70776989295217,375.0227173664546,9,2.8555555555555556,1.7147170519607027,3.9963940591504086,10
0.5,6,9,9,4.659037808041693,3.8308024220762147,5.48727319400717,9,1.7472971147140002,0.009889693357485685,3.484704536070515,9,0.02800094685794889,-0.04316962850543524,0.09917152222133302,9,1656.730860252008,370.494158174783,2942.967562329233,9,3145.8781771730337,-798.6265770185378,7090.382931364606,9,524.3130295288389,-133.10442950308948,1181.7304885607673,9,57.28916045068455,-86.65617397642087,201.23449487778998,9,3.066666666666667,1.7397398867514893,4.3935934465818445,10
1.0,0,10,10,6.805021893207882,4.776115647306845,8.833928139108918,10,0.0,0.0,0.0,0,,,,10,8515.905746033928,1725.9759674882898,15305.835524579566,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0,10
1.0,1,10,10,5.864715905068618,4.403823649997966,7.32560816013927,10,0.940305988139265,0.32833211473197155,1.5522798615465585,10,0.940305988139265,0.32833211473197155,1.5522798615465585,10,6099.800906372519,1396.485985966844,10803.115826778194,10,2416.1048396614074,270.38627933846783,4561.823399984347,10,2416.1048396614074,270.38627933846783,4561.823399984347,10,2416.1048396614074,270.38627933846783,4561.823399984347,10,1.47,1.24116031856602,1.69883968143398,10
1.0,2,10,10,5.262545764500978,4.207653461604209,6.317438067397748,10,1.5424761287069049,0.5223598818413713,2.5625923755724385,10,0.6021701405676397,0.16610456752371366,1.0382357136115659,10,4479.994062950359,1189.1832584602762,7770.804867440442,10,4035.9116830835674,515.5123722925409,7556.310993874594,10,2017.9558415417837,257.75618614627047,3778.155496937297,10,1619.80684342216,178.5127656895413,3061.100921154779,10,2.48,2.0228178446257705,2.9371821553742294,10
