incident_zone,duration_hours,external_count,replications,mean_response_min_n,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_n,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_n,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_n,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_n,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_n,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_n,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_n,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high
7.0,0.5,0.0,9.0,9.0,7.319861961132911,4.837658638877151,9.802065283388671,9.0,0.0,0.0,0.0,0.0,,,,9.0,6121.095420153107,-398.710967917842,12640.901808224055,9.0,0.0,0.0,0.0,0.0,,,,0.0,,,,10.0,0.0,0.0,0.0
7.0,0.5,1.0,9.0,9.0,6.251563787606688,4.140929681290963,8.362197893922414,9.0,1.068298173526224,0.5425637219315197,1.5940326251209282,9.0,1.068298173526224,0.5425637219315197,1.5940326251209282,9.0,4661.511874280185,-524.7135116237177,9847.737260184087,9.0,1459.5835458729225,111.67070731677472,2807.4963844290705,9.0,1459.5835458729225,111.67070731677472,2807.4963844290705,9.0,1459.5835458729225,111.67070731677472,2807.4963844290705,10.0,0.9,0.6737842837201795,1.1262157162798205
8.0,0.5,2.0,10.0,10.0,5.5849742082229215,4.314148660599224,6.855799755846619,10.0,0.9312034991611675,-0.21584955416035,2.078256552482685,10.0,0.47817174496186415,-0.17642998229895773,1.132773472222686,10.0,3046.7092076599165,-71.37630889923048,6164.794724219064,10.0,2067.19210434418,-589.0253955559679,4723.409604244327,10.0,1033.59605217209,-294.51269777798393,2361.7048021221635,10.0,1058.6830623073254,-408.96435758845405,2526.330482203105,10.0,1.7,1.3544497855863562,2.0455502144136437
8.0,0.5,3.0,10.0,10.0,5.372012409176266,4.274412757445507,6.469612060907025,10.0,1.1441652982078228,-0.2514092011830835,2.5397397975987293,10.0,0.2129617990466553,-0.04600179630054624,0.47192539439385683,10.0,2616.2367305128037,-6.715380186287803,5239.188841211895,10.0,2497.6645814912927,-690.4639666204525,5685.793129603038,10.0,832.5548604970976,-230.15465554015088,1895.264376534346,10.0,430.47247714711267,-113.31434411439096,974.2592984086164,10.0,2.4,1.7967580899204787,3.003241910079521
9.0,0.5,4.0,9.0,9.0,5.163027636348447,4.178156627835652,6.147898644861242,9.0,1.2079223762928297,-0.500162262538216,2.9160070151238755,9.0,0.02759598607679909,-0.036040471931336186,0.09123244408493436,9.0,1880.8403355993598,562.9435318667054,3198.7371393320145,9.0,2163.4525039769087,-1164.7221526429794,5491.627160596797,9.0,540.8631259942272,-291.18053816074485,1372.9067901491992,9.0,55.19197215359782,-72.08094386267192,182.46488816986755,10.0,2.4,1.222132516827027,3.577867483172973
9.0,0.5,5.0,9.0,9.0,5.164647328325329,4.17916524062814,6.150129416022518,9.0,1.2063026843159477,-0.4988242018924307,2.911429570524326,9.0,-0.0016196919768820292,-0.005354708373328999,0.0021153244195649405,9.0,1884.079719553124,562.97864282252,3205.1807962837283,9.0,2160.213120023145,-1161.985018811556,5482.411258857846,9.0,432.0426240046291,-232.39700376231116,1096.4822517715693,9.0,-3.23938395376394,-10.709416746657606,4.230648839129727,10.0,2.6,1.2427057023210772,3.957294297678923
9.0,0.5,6.0,9.0,9.0,5.176901997496823,4.1863521893418,6.1674518056518455,9.0,1.1940480151444541,-0.4888005448099184,2.8768965750988267,9.0,-0.012254669171493463,-0.040513986956516396,0.016004648613529474,9.0,1908.5890578961105,562.1479540591013,3255.0301617331197,9.0,2135.7037816801585,-1141.4743177479018,5412.881881108218,9.0,355.9506302800264,-190.2457196246503,902.1469801847031,9.0,-24.50933834298687,-81.0279739130326,32.009297227058866,10.0,2.7,1.2281484577712993,4.171851542228701
1.0,1.0,0.0,10.0,10.0,9.117031550641387,5.476149405056322,12.757913696226453,10.0,0.0,0.0,0.0,0.0,,,,10.0,18560.63643612962,4392.397269882633,32728.875602376604,10.0,0.0,0.0,0.0,0.0,,,,0.0,,,,10.0,0.0,0.0,0.0
1.0,1.0,1.0,10.0,10.0,7.70053888386667,4.8220924168930885,10.578985350840252,10.0,1.4164926667747166,0.45683293173706174,2.3761524018123716,10.0,1.4164926667747166,0.45683293173706174,2.3761524018123716,10.0,14113.01858074868,3355.376208401003,24870.660953096354,10.0,4447.617855380937,503.80741709136055,8391.428293670513,10.0,4447.617855380937,503.80741709136055,8391.428293670513,10.0,4447.617855380937,503.80741709136055,8391.428293670513,10.0,1.8,1.4983790449602394,2.1016209550397607
1.0,1.0,2.0,10.0,10.0,6.378264180491496,4.334665603298476,8.421862757684515,10.0,2.7387673701498914,1.0534506549107907,4.4240840853889924,10.0,1.3222747033751743,0.44742488718509843,2.19712451956525,10.0,9845.715564794635,2378.82400685819,17312.60712273108,10.0,8714.920871334984,1766.9539559553268,15662.88778671464,10.0,4357.460435667492,883.4769779776634,7831.44389335732,10.0,4267.303015954045,869.4460092372333,7665.160022670856,10.0,3.3,2.7110662584135135,3.888933741586486
