mode,external_count,external_sites,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,external_dispatches,max_daily_dispatches_per_ambulance,incident_zone,duration_hours,start_hour,seed
B_E,1,S1,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600002
B_E,2,S1|S1,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600002
B_E,3,S1|S1|S1,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600002
B_E,4,S1|S1|S1|S1,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600002
B_E,5,S1|S1|S1|S1|S1,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600002
B_E,6,S1|S1|S1|S1|S1|S1,84e05b3024c029419d6fce70236102c0a6f039dbe62c3c0e44f8aad913a1dee9,1,3.0,3.0,1.0,0.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600002
B_E,0,,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,10.4367843408316,21.78832306536181,0.09090909090909091,3.824208555309848,1305.5386863481383,3,17.358040099404608,25.79841433477485,0.0,10.259317815311078,2671.608019880922,8,7.841313431366722,13.942615624342121,0.125,1.4110425828093867,793.2626862733445,3,3,0,12,1,0.5,17.75,600003
B_E,1,S1,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,9.398184685292659,22.663004332717225,0.18181818181818182,1.748295598449741,1116.0005734221677,3,11.096090369781555,20.46146466441802,0.3333333333333333,2.7080434250625935,1485.8847406229772,8,8.761470053609322,18.727430060003627,0.125,1.3883901634699214,977.2940107218642,2,2,1,12,1,0.5,17.75,600003
B_E,2,S1|S1,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,6.87717175040861,10.37080180263122,0.18181818181818182,0.7220828109520053,611.7979864453582,3,7.480128362654091,10.698367245173873,0.3333333333333333,2.647636973490686,762.6923391974848,8,6.651063020816554,9.101740840330274,0.125,0.0,555.2126041633107,1,1,2,12,1,0.5,17.75,600003
B_E,3,S1|S1|S1,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,6.155088939456604,9.148083426140296,0.2727272727272727,0.0,485.56324243677534,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,8,6.651063020816554,9.101740840330274,0.125,0.0,555.2126041633107,1,0,3,12,1,0.5,17.75,600003
