incident_zone,duration_hours,external_count,replications,mean_response_min_n,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_n,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_n,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_n,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_n,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_n,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_n,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_n,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high
1,0.5,0,10,10,6.958107506207635,4.398603548609213,9.517611463806057,10,0.0,0.0,0.0,0,,,,10,6580.327423846458,697.3982025682108,12463.256645124706,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0
1,0.5,1,10,10,5.862877902849657,3.945672033321924,7.780083772377391,10,1.095229603357976,0.27308766389378647,1.9173715428221656,10,1.095229603357976,0.27308766389378647,1.9173715428221656,10,4796.799757928828,643.229072822076,8950.37044303558,10,1783.5276659176313,-93.84169129462134,3660.897023129884,10,1783.5276659176313,-93.84169129462134,3660.897023129884,10,1783.5276659176313,-93.84169129462134,3660.897023129884,10,1.0,1.0,1.0
1,0.5,2,10,10,5.0229449380541045,3.775133815778779,6.27075606032943,10,1.9351625681535296,0.5317600453853724,3.338565090921687,10,0.8399329647955536,0.12876367255356014,1.551102257037547,10,3210.597438651963,604.9467845924814,5816.248092711445,10,3369.7299851944963,38.58682436405161,6700.873146024941,10,1684.8649925972481,19.293412182025804,3350.4365730124705,10,1586.2023192768647,-42.38504544777925,3214.7896840015087,10,1.8,1.4983790449602394,2.1016209550397607
1,0.5,3,10,10,4.466585516947873,3.5969942932738306,5.336176740621916,10,2.4915219892597604,0.6262996158800753,4.3567443626394455,10,0.5563594211062309,0.035094457085997566,1.0776243851264642,10,2232.2577843629524,541.2336086102396,3923.2819601156652,10,4348.069639483508,-8.969156054993618,8705.108435022008,10,1449.3565464945023,-2.9897186849980244,2901.7028116740025,10,978.339654289011,-93.414563078779,2050.093871656801,10,2.6,1.9967580899204789,3.2032419100795213
1,0.5,4,10,10,4.233201898236972,3.4529177199458974,5.0134860765280465,10,2.724905607970663,0.740223360920208,4.709587855021118,10,0.23338361871090202,0.00529800175692674,0.4614692356648773,10,1865.0746497488883,336.27498205565416,3393.8743174421224,10,4715.252774097571,160.12200962075622,9270.383538574386,10,1178.8131935243928,40.030502405189054,2317.5958846435965,10,367.18313461406365,11.85253229554155,722.5137369325857,10,3.3,2.4046123998096993,4.1953876001903
1,0.5,5,10,10,4.025819825689803,3.3153237271318767,4.736315924247729,10,2.9322876805178306,0.6533204071607979,5.211254953874864,10,0.20738207254716828,-0.1529046176919805,0.5676687627863171,10,1465.677950189273,239.83979297748533,2691.5161074010603,10,5114.649473657186,-98.86991188543288,10328.168859199805,10,1022.9298947314371,-19.77398237708644,2065.633771839961,10,399.3966995596152,-344.02012560620244,1142.8135247254327,10,3.9,2.7101254023728165,5.089874597627183
1,0.5,6,10,10,4.027034594672465,3.3158514513037725,4.738217738041157,10,2.931072911535169,0.6543486749202883,5.20779714815005,10,-0.0012147689826614183,-0.003962767337934034,0.0015332293726111974,10,1468.5933957476607,240.46758436907794,2696.7192071262434,10,5111.734028098797,-95.90735976943688,10319.375415967032,10,851.9556713497998,-15.9845599615727,1719.8959026611724,10,-2.915445558387637,-9.510641611042443,3.6797504942671684,10,4.5,2.982498842458547,6.017501157541453
1,1.0,0,10,10,9.117031550641387,5.476149405056322,12.757913696226453,10,0.0,0.0,0.0,0,,,,10,18560.63643612962,4392.397269882633,32728.875602376604,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0
1,1.0,1,10,10,7.70053888386667,4.8220924168930885,10.578985350840252,10,1.4164926667747166,0.45683293173706174,2.3761524018123716,10,1.4164926667747166,0.45683293173706174,2.3761524018123716,10,14113.01858074868,3355.376208401003,24870.660953096354,10,4447.617855380937,503.80741709136055,8391.428293670513,10,4447.617855380937,503.80741709136055,8391.428293670513,10,4447.617855380937,503.80741709136055,8391.428293670513,10,1.8,1.4983790449602394,2.1016209550397607
1,1.0,2,10,10,6.378264180491496,4.334665603298476,8.421862757684515,10,2.7387673701498914,1.0534506549107907,4.4240840853889924,10,1.3222747033751743,0.44742488718509843,2.19712451956525,10,9845.715564794635,2378.82400685819,17312.60712273108,10,8714.920871334984,1766.9539559553268,15662.88778671464,10,4357.460435667492,883.4769779776634,7831.44389335732,10,4267.303015954045,869.4460092372333,7665.160022670856,10,3.3,2.7110662584135135,3.888933741586486
1,1.0,3,10,10,5.697855070478431,3.9795243961534648,7.416185744803396,10,3.4191764801629567,1.3420099893415949,5.496342970984319,10,0.6804091100130654,0.26143727289673585,1.099380947129395,10,7747.804714231888,1627.9841779773305,13867.625250486446,10,10812.831721897728,2268.371302784075,19357.29214101138,10,3604.277240632576,756.1237675946913,6452.430713670461,10,2097.910850562746,452.7602966454108,3743.0614044800814,10,4.4,3.6310144322718845,5.168985567728116
1,1.0,4,10,10,4.972080204282236,3.7088779884111998,6.235282420153272,10,4.144951346359152,1.5684062423822613,6.721496450336042,10,0.7257748661961948,0.19710502988371492,1.2544447025086747,10,5384.0256077177155,1138.5324875008446,9629.518727934586,10,13176.610828411902,2610.087373256263,23743.13428356754,10,3294.1527071029755,652.5218433140658,5935.783570891885,10,2363.779106514173,271.7634081895667,4455.794804838779,10,5.3,4.230946233100898,6.369053766899102
1,1.0,5,10,10,4.621847687906537,3.634873034029055,5.608822341784019,10,4.49518386273485,1.7998746988778134,7.190493026591886,10,0.3502325163756985,-0.14117340325534972,0.8416384360067468,10,4371.557626614535,1054.6048853546176,7688.510367874453,10,14189.078809515082,3277.749095222496,25100.408523807666,10,2837.815761903016,655.5498190444991,5020.081704761533,10,1012.4679811031796,-680.7120425688239,2705.648004775183,10,5.9,4.919731896120778,6.880268103879223
1,1.0,6,10,10,4.397428462334205,3.477002313444714,5.317854611223697,10,4.719603088307181,1.8912687746762913,7.547937401938071,10,0.2244192255723319,-0.07363021581120999,0.5224686669558738,10,3669.733432881555,652.855219948257,6686.611645814854,10,14890.90300324806,3406.9171068914166,26374.888899604703,10,2481.8171672080102,567.8195178152364,4395.814816600784,10,701.824193732981,-372.52719559928437,1776.1755830652464,10,6.5,5.474377868802519,7.525622131197481
1,2.0,0,10,10,11.329721376236918,7.32183845294448,15.337604299529357,10,0.0,0.0,0.0,0,,,,10,44219.02985059853,16467.738370227158,71970.32133096989,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0
1,2.0,1,10,10,8.91987877750336,6.1566525544844515,11.683105000522268,10,2.4098425987335568,0.9794869786059788,3.8401982188611345,10,2.4098425987335568,0.9794869786059788,3.8401982188611345,10,30524.646056641697,11934.57743744594,49114.71467583746,10,13694.38379395683,3631.2215105430387,23757.54607737062,10,13694.38379395683,3631.2215105430387,23757.54607737062,10,13694.38379395683,3631.2215105430387,23757.54607737062,10,2.9,2.4939303619563953,3.3060696380436045
