mode,external_count,external_sites,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,external_dispatches,max_daily_dispatches_per_ambulance,incident_zone,duration_hours,start_hour,seed,total_delay_penalty_yuan,cumulative_response_gain_min,marginal_response_gain_min,avoided_penalty_yuan,avoided_penalty_per_vehicle_yuan,marginal_break_even_cost_yuan
B_E,0,,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.261361101768092,10.169487816154682,0.5,0.0,352.27222035361837,3,3.0,3.0,1.0,0.0,0.0,7,6.230515859668704,10.625491538517721,0.2857142857142857,0.0,503.24602907659767,1,0,0,12,1,0.5,17.75,600000,3522.7222035361838,0.0,,0.0,,
B_E,1,S1,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.074277870110379,9.140530042037263,0.5,0.0,314.85557402207576,3,3.0,3.0,1.0,0.0,0.0,7,5.963254100157684,9.315908916913731,0.2857142857142857,0.0,449.7936771743939,1,0,1,12,1,0.5,17.75,600000,3148.555740220758,0.1870832316577129,0.1870832316577129,374.166463315426,374.166463315426,374.166463315426
B_E,2,S1|S1,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.074277870110379,9.140530042037263,0.5,0.0,314.85557402207576,3,3.0,3.0,1.0,0.0,0.0,7,5.963254100157684,9.315908916913731,0.2857142857142857,0.0,449.7936771743939,1,0,2,12,1,0.5,17.75,600000,3148.555740220758,0.1870832316577129,0.0,374.166463315426,187.083231657713,0.0
B_E,3,S1|S1|S1,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.074277870110379,9.140530042037263,0.5,0.0,314.85557402207576,3,3.0,3.0,1.0,0.0,0.0,7,5.963254100157684,9.315908916913731,0.2857142857142857,0.0,449.7936771743939,1,0,3,12,1,0.5,17.75,600000,3148.555740220758,0.1870832316577129,0.0,374.166463315426,124.72215443847533,0.0
B_E,4,S1|S1|S1|S1,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.191197120028025,9.666666666666668,0.5,0.0,338.2394240056048,3,3.0,3.0,1.0,0.0,0.0,7,6.1302816000400355,9.666666666666668,0.2857142857142857,0.0,483.19917715086405,1,0,4,12,1,0.5,17.75,600000,3382.394240056048,0.070163981740067,-0.1169192499176459,140.32796348013562,35.081990870033906,-233.83849983529035
B_E,5,S1|S1|S1|S1|S1,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.377123616632827,9.666666666666668,0.5,0.0,375.42472332656513,3,3.0,3.0,1.0,0.0,0.0,7,6.395890880904038,9.666666666666668,0.2857142857142857,0.0,536.3210333236644,1,0,5,12,1,0.5,17.75,600000,3754.247233265651,-0.11576251486473499,-0.18592649660480198,-231.5250297294674,-46.305005945893484,-371.852993209603
B_E,6,S1|S1|S1|S1|S1|S1,d9343bbad5b4fd4ececc425d645a4cf748bf27fe8f657fa35bd2ab269dba1d96,10,5.377123616632827,9.666666666666668,0.5,0.0,375.42472332656513,3,3.0,3.0,1.0,0.0,0.0,7,6.395890880904038,9.666666666666668,0.2857142857142857,0.0,536.3210333236644,1,0,6,12,1,0.5,17.75,600000,3754.247233265651,-0.11576251486473499,0.0,-231.5250297294674,-38.58750495491123,0.0
B_E,0,,961676940394df98d74dbd90bac1b0cc339cca2612be52a49cee1b40538ec714,10,6.034371068063358,10.697418943069293,0.5,0.0,506.8742136126715,8,6.792963835079197,10.860823717301823,0.375,0.0,633.5927670158394,2,3.0,3.0,1.0,0.0,0.0,1,0,0,12,1,0.5,17.75,600001,5068.742136126715,0.0,,0.0,,
B_E,1,S1,961676940394df98d74dbd90bac1b0cc339cca2612be52a49cee1b40538ec714,10,5.19109702535179,9.213144352005305,0.6,0.0,358.219405070358,8,5.738871281689737,9.343266203735322,0.5,0.0,447.77425633794746,2,3.0,3.0,1.0,0.0,0.0,1,0,1,12,1,0.5,17.75,600001,3582.1940507035797,0.8432740427115677,0.8432740427115677,1486.5480854231355,1486.5480854231355,1486.5480854231355
B_E,2,S1|S1,961676940394df98d74dbd90bac1b0cc339cca2612be52a49cee1b40538ec714,10,4.710356855289925,9.213144352005305,0.7,0.0,282.07137105798495,8,5.137946069112406,9.343266203735322,0.625,0.0,352.58921382248116,2,3.0,3.0,1.0,0.0,0.0,1,0,2,12,1,0.5,17.75,600001,2820.7137105798492,1.3240142127734327,0.480740170061865,2248.028425546866,1124.014212773433,761.4803401237305
