metric,value,lower,upper,unit,scope
历史平均每日增发量,5.781380,,,kWh/day,DP-C-002主排序口径
当前全站历史平均发电量,194.735733,,,kWh/day,Task 3比例缩放分母
修复后全站历史平均发电量,200.517113,,,kWh/day,加性修复假设下
历史相对提升率,2.968834,,,%,加性修复假设下
day16补充期望增发量,7.607546,,,kWh,历史增益×day16站级预测/历史站均值
day16补充95%置信区间,,7.601928,7.613164,kWh,仅传播Task 2条件参数区间
day16补充95%预测区间,,7.589961,7.625131,kWh,仅传播Task 2条件日级残差区间
第10名中心损失,0.470418,,,kWh/day,排序截止点
第11名中心损失,0.450322,,,kWh/day,排序截止点
