metric,value,unit,scope
正式分类数量_正常,70,组件,Task 1正式阈值分类
正式分类数量_隐裂,15,组件,Task 1正式阈值分类
正式分类数量_热斑,15,组件,Task 1正式阈值分类
正式分类数量_超出题面定义,0,组件,Task 1正式阈值分类
分类完整率,100.0,%,正式三分类定义域
参考示例一致率,100.0,%,分类完成后的独立核验
疑似遮挡数量,3,组件,辅助筛查，不覆盖正式类别
筛查不稳定数量,12,组件,辅助筛查，不覆盖正式类别
