metric,point_kwh,lower_kwh,upper_kwh,scope
day16点预测,256.246955,,,selected M0全15日原尺度最终拟合
95%期望值置信区间,,256.057714,256.436195,条件性参数不确定性；非精确覆盖证明
95%单日预测区间,,255.654628,256.839281,条件性参数与日级残差不确定性
bootstrap敏感性_期望值区间,,256.086728,256.405148,同一selected candidate的原尺度重拟合
bootstrap敏感性_预测区间,,255.801192,256.782074,同一selected candidate的原尺度重拟合
