candidate,metric,mean,ci95_low,ci95_high,replications
A,mean_response_min,5.614242249244076,5.5576762407724,5.670808257715752,30
A,mean_delay_penalty_yuan_per_call,409.0788953788548,398.30194742562486,419.8558433320847,30
A,mean_daily_delay_penalty_yuan,57271.045353039655,55762.27263958746,58779.81806649185,30
A,strict_4min_rate,0.4313253968253968,0.42753751222399233,0.4351132814268012,30
A,p90_response_min,8.512986626573857,8.481260085433624,8.544713167714091,30
A,p95_response_min,10.99490358495893,10.732107183525887,11.257699986391973,30
A,mean_wait_min,0.40528192260964513,0.361961690538519,0.44860215468077125,30
A,wait_probability,0.03506349206349202,0.03292439290241931,0.03720259122456473,30
A,max_wait_min,53.66484810825641,46.802484751741765,60.52721146477105,30
A,max_queue,5.433333333333334,4.95611308350237,5.9105535831642975,30
A,mean_end_backlog,0.7077777777777777,0.6042735490950014,0.811282006460554,30
A,regional_mean_gap_min,4.157831061180778,4.01314272495032,4.302519397411235,30
A,mean_ideal_chain_min,12.61856288416471,12.557184952880162,12.679940815449259,30
A,p95_ideal_chain_min,20.70989074101303,20.667500891502613,20.752280590523448,30
B_beta4_delta2,mean_response_min,5.343154157808058,5.311056486337703,5.3752518292784135,30
B_beta4_delta2,mean_delay_penalty_yuan_per_call,358.44162510739756,352.4751960640488,364.4080541507463,30
B_beta4_delta2,mean_daily_delay_penalty_yuan,50181.82751503566,49346.52744896684,51017.127581104476,30
B_beta4_delta2,strict_4min_rate,0.4491984126984127,0.4459588957350432,0.4524379296617822,30
B_beta4_delta2,p90_response_min,8.497474167490216,8.497474167490216,8.497474167490216,30
B_beta4_delta2,p95_response_min,9.900584390112511,9.781428233695447,10.019740546529576,30
B_beta4_delta2,mean_wait_min,0.22245521221268186,0.2020311390694722,0.2428792853558915,30
B_beta4_delta2,wait_probability,0.024698412698412654,0.02331714439624191,0.0260796810005834,30
B_beta4_delta2,max_wait_min,35.93604931753628,33.03199936494262,38.84009927012994,30
B_beta4_delta2,max_queue,4.733333333333333,4.274082694146085,5.192583972520581,30
B_beta4_delta2,mean_end_backlog,0.37,0.29717672461542877,0.4428232753845712,30
B_beta4_delta2,regional_mean_gap_min,3.9993899710788066,3.8939186440694553,4.104861298088157,30
B_beta4_delta2,mean_ideal_chain_min,12.347474792728692,12.307954949430718,12.386994636026666,30
B_beta4_delta2,p95_ideal_chain_min,20.371325036232175,20.22846895871392,20.514181113750432,30
C_r001000_tau7,mean_response_min,5.587167394898574,5.540027057074826,5.6343077327223225,30
C_r001000_tau7,mean_delay_penalty_yuan_per_call,403.272258233558,394.2716193477802,412.27289711933577,30
C_r001000_tau7,mean_daily_delay_penalty_yuan,56458.11615269812,55198.026708689235,57718.20559670701,30
C_r001000_tau7,strict_4min_rate,0.4294047619047619,0.425705921832077,0.4331036019774468,30
C_r001000_tau7,p90_response_min,8.497474167490216,8.497474167490216,8.497474167490216,30
C_r001000_tau7,p95_response_min,10.802081939016194,10.559948800944989,11.044215077087399,30
C_r001000_tau7,mean_wait_min,0.36566840953874746,0.3288778105781206,0.4024590084993743,30
C_r001000_tau7,wait_probability,0.033206349206349156,0.03116841787597252,0.03524428053672579,30
C_r001000_tau7,max_wait_min,50.72615442382958,42.732370910333685,58.71993793732547,30
C_r001000_tau7,max_queue,5.466666666666667,5.020155818240774,5.91317751509256,30
C_r001000_tau7,mean_end_backlog,0.6288888888888889,0.542609017391424,0.7151687603863539,30
C_r001000_tau7,regional_mean_gap_min,4.082189122641035,3.9633520453862987,4.201026199895771,30
C_r001000_tau7,mean_ideal_chain_min,12.59148802981921,12.538913583771109,12.644062475867312,30
C_r001000_tau7,p95_ideal_chain_min,20.678947095119433,20.670582545392612,20.687311644846254,30
