comparison,mean_difference_min,ci95_low,ci95_high,replications
B_beta4_delta2-A,-0.2710880914360173,-0.3116400107019265,-0.23053617217010816,30
C_r001000_tau7-A,-0.027074854345501602,-0.048654582800065016,-0.005495125890938184,30
